gi|1000108|gb|AAA92500|	 melatonin receptor [Xenopus laevis]
gi|2749954|gb|AAC60340|	 DNA-dependent protein kinase [Xenopus laevis]
gi|27503171|gb|AAH42228|	 Fzd7 protein [Xenopus laevis]
gi|27503174|gb|AAH42240|	 Gap43-prov protein [Xenopus laevis]
gi|27503177|gb|AAH42218|	 LOC379112 protein [Xenopus laevis]
gi|27503180|gb|AAH42300|	 LOC398539 protein [Xenopus laevis]
gi|27503183|gb|AAH42338|	 Cmah protein [Xenopus laevis]
gi|27503186|gb|AAH42304|	 Elovl1-prov protein [Xenopus laevis]
gi|27503189|gb|AAH42345|	 Itm2b-prov protein [Xenopus laevis]
gi|27503192|gb|AAH42348|	 Cg32066-prov protein [Xenopus laevis]
gi|27503196|gb|AAH42349|	 Capn8-a protein [Xenopus laevis]
gi|27503199|gb|AAH42307|	 Abr-prov protein [Xenopus laevis]
gi|27503202|gb|AAH42220|	 Flj12750-prov protein [Xenopus laevis]
gi|27503205|gb|AAH42216|	 MGC53307 protein [Xenopus laevis]
gi|27503208|gb|AAH42246|	 Bozf1-prov protein [Xenopus laevis]
gi|27503211|gb|AAH42253|	 Eif3s6ip-prov protein [Xenopus laevis]
gi|27503214|gb|AAH42241|	 Med19 protein [Xenopus laevis]
gi|27503217|gb|AAH42258|	 Rpl5-b protein [Xenopus laevis]
gi|27503220|gb|AAH42263|	 Shoc2-prov protein [Xenopus laevis]
gi|27503223|gb|AAH42283|	 Rbbp7-prov protein [Xenopus laevis]
gi|27503226|gb|AAH42281|	 Amd1 protein [Xenopus laevis]
gi|27503229|gb|AAH42275|	 Egfl6-prov protein [Xenopus laevis]
gi|27503232|gb|AAH42272|	 Ppp2ca protein [Xenopus laevis]
gi|27503235|gb|AAH42271|	 MGC53461 protein [Xenopus laevis]
gi|27503238|gb|AAH42269|	 Krt18-a protein [Xenopus laevis]
gi|27503241|gb|AAH42284|	 Gna11-prov protein [Xenopus laevis]
gi|27503244|gb|AAH42290|	 H3f3b-prov protein [Xenopus laevis]
gi|27503247|gb|AAH42354|	 Sfrs1 protein [Xenopus laevis]
gi|27503250|gb|AAH42355|	 Etv3-prov protein [Xenopus laevis]
gi|27503252|gb|AAH42221|	 Kcnj16-A protein [Xenopus laevis]
gi|27503256|gb|AAH42223|	 Grina-prov protein [Xenopus laevis]
gi|27503259|gb|AAH42215|	 MGC53953 protein [Xenopus laevis]
gi|27503262|gb|AAH42237|	 LOC398481 protein [Xenopus laevis]
gi|27503265|gb|AAH42227|	 Dars-prov protein [Xenopus laevis]
gi|27503316|gb|AAH42353|	 LOC398480 protein [Xenopus laevis]
gi|27503319|gb|AAH42308|	 Myoz2-prov protein [Xenopus laevis]
gi|27503338|gb|AAH42224|	 Hnf4 protein [Xenopus laevis]
gi|27503341|gb|AAH42219|	 MGC53312 protein [Xenopus laevis]
gi|27503344|gb|AAH42268|	 Arbp-prov protein [Xenopus laevis]
gi|27503347|gb|AAH42262|	 MGC53410 protein [Xenopus laevis]
gi|27503350|gb|AAH42274|	 Gns-prov protein [Xenopus laevis]
gi|27503354|gb|AAH42286|	 Vps4b-prov protein [Xenopus laevis]
gi|27503357|gb|AAH42291|	 Dnaja1-prov protein [Xenopus laevis]
gi|27503400|gb|AAH42222|	 Slc7a3-prov protein [Xenopus laevis]
gi|27503403|gb|AAH42225|	 LOC373796 protein [Xenopus laevis]
gi|27503406|gb|AAH42243|	 Gnai1-prov protein [Xenopus laevis]
gi|27503410|gb|AAH42250|	 Anp32b protein [Xenopus laevis]
gi|27503412|gb|AAH42270|	 Gmds-prov protein [Xenopus laevis]
gi|27503415|gb|AAH42280|	 LOC398479 protein [Xenopus laevis]
gi|27503418|gb|AAH42282|	 Ckb-prov protein [Xenopus laevis]
gi|27503421|gb|AAH42287|	 Ca2-prov protein [Xenopus laevis]
gi|27503423|gb|AAH42293|	 MGC53308 protein [Xenopus laevis]
gi|27503426|gb|AAH42313|	 Net1-prov protein [Xenopus laevis]
gi|27503439|gb|AAH42337|	 Arf2-prov protein [Xenopus laevis]
gi|27503442|gb|AAH42341|	 Mlec-b protein [Xenopus laevis]
gi|27503445|gb|AAH42346|	 Cdc23-prov protein [Xenopus laevis]
gi|27503448|gb|AAH42350|	 1i973-prov protein [Xenopus laevis]
gi|27503841|gb|AAH42217|	 Nsep1 protein [Xenopus laevis]
gi|27503844|gb|AAH42232|	 Ubtf-b protein [Xenopus laevis]
gi|27503847|gb|AAH42301|	 LOC398537 protein [Xenopus laevis]
gi|27503850|gb|AAH42302|	 Ppm1a-prov protein [Xenopus laevis]
gi|27503853|gb|AAH42342|	 LOC398536 protein [Xenopus laevis]
gi|27503856|gb|AAH42343|	 MGC52735 protein [Xenopus laevis]
gi|27503859|gb|AAH42344|	 MGC52738 protein [Xenopus laevis]
gi|27503862|gb|AAH42347|	 Cct2-prov protein [Xenopus laevis]
gi|27503866|gb|AAH42292|	 MGC53313 protein [Xenopus laevis]
gi|27503869|gb|AAH42251|	 MGC53350 protein [Xenopus laevis]
gi|27503872|gb|AAH42252|	 Arhgap8-prov protein [Xenopus laevis]
gi|27503875|gb|AAH42244|	 MGC53372 protein [Xenopus laevis]
gi|27503878|gb|AAH42260|	 Zfr protein [Xenopus laevis]
gi|27503881|gb|AAH42279|	 MGC53417 protein [Xenopus laevis]
gi|27503884|gb|AAH42278|	 Wsb1-pending-prov protein [Xenopus laevis]
gi|27503887|gb|AAH42276|	 Shmt1 protein [Xenopus laevis]
gi|27503891|gb|AAH42277|	 Six6-A protein [Xenopus laevis]
gi|27503894|gb|AAH42285|	 Qrsl1-prov protein [Xenopus laevis]
gi|27503900|gb|AAH42288|	 Cdc20 protein [Xenopus laevis]
gi|27503903|gb|AAH42310|	 MGC53544 protein [Xenopus laevis]
gi|27503906|gb|AAH42359|	 Awp1-pending-prov protein [Xenopus laevis]
gi|27503908|gb|AAH42226|	 MGC53939 protein [Xenopus laevis]
gi|27503911|gb|AAH42236|	 LOC398478 protein [Xenopus laevis]
gi|27503915|gb|AAH42235|	 MGC53961 protein [Xenopus laevis]
gi|27503918|gb|AAH42255|	 Srd5a3 protein [Xenopus laevis]
gi|27503921|gb|AAH42245|	 Gldc-prov protein [Xenopus laevis]
gi|27503923|gb|AAH42257|	 XDRP1 protein [Xenopus laevis]
gi|27529349|gb|CAD26517|	 hypothetical protein [Xenopus laevis]
gi|27530887|gb|BAC53990|	 protein arginine methyltransferase 1 [Xenopus laevis]
gi|27531335|gb|BAC54274|	 cerberus [Xenopus laevis]
gi|27544283|gb|BAC54909|	 hypothetical protein [Xenopus laevis]
gi|27552832|gb|AAH42928|	 MGC53296 protein [Xenopus laevis]
gi|27552834|gb|AAH42929|	 Hmgcs1-prov protein [Xenopus laevis]
gi|27552836|gb|AAH42927|	 MGC53311 protein [Xenopus laevis]
gi|27552841|gb|AAH42934|	 MGC53335 protein [Xenopus laevis]
gi|27552876|gb|AAH42933|	 Nip30-prov protein [Xenopus laevis]
gi|27573729|gb|1KX3_A|	 Chain A, X-Ray Structure Of The Nucleosome Core Particle, Ncp146, At 2.0 A Resolution
gi|27573730|gb|1KX3_B|	 Chain B, X-Ray Structure Of The Nucleosome Core Particle, Ncp146, At 2.0 A Resolution
gi|27573731|gb|1KX3_C|	 Chain C, X-Ray Structure Of The Nucleosome Core Particle, Ncp146, At 2.0 A Resolution
gi|27573732|gb|1KX3_D|	 Chain D, X-Ray Structure Of The Nucleosome Core Particle, Ncp146, At 2.0 A Resolution
gi|27573733|gb|1KX3_E|	 Chain E, X-Ray Structure Of The Nucleosome Core Particle, Ncp146, At 2.0 A Resolution
gi|27573734|gb|1KX3_F|	 Chain F, X-Ray Structure Of The Nucleosome Core Particle, Ncp146, At 2.0 A Resolution
gi|27573735|gb|1KX3_G|	 Chain G, X-Ray Structure Of The Nucleosome Core Particle, Ncp146, At 2.0 A Resolution
gi|27573736|gb|1KX3_H|	 Chain H, X-Ray Structure Of The Nucleosome Core Particle, Ncp146, At 2.0 A Resolution
gi|27573739|gb|1KX4_A|	 Chain A, X-Ray Structure Of The Nucleosome Core Particle, Ncp146b, At 2.6 A Resolution
gi|27573740|gb|1KX4_B|	 Chain B, X-Ray Structure Of The Nucleosome Core Particle, Ncp146b, At 2.6 A Resolution
gi|27573741|gb|1KX4_C|	 Chain C, X-Ray Structure Of The Nucleosome Core Particle, Ncp146b, At 2.6 A Resolution
gi|27573742|gb|1KX4_D|	 Chain D, X-Ray Structure Of The Nucleosome Core Particle, Ncp146b, At 2.6 A Resolution
gi|27573743|gb|1KX4_E|	 Chain E, X-Ray Structure Of The Nucleosome Core Particle, Ncp146b, At 2.6 A Resolution
gi|27573744|gb|1KX4_F|	 Chain F, X-Ray Structure Of The Nucleosome Core Particle, Ncp146b, At 2.6 A Resolution
gi|27573745|gb|1KX4_G|	 Chain G, X-Ray Structure Of The Nucleosome Core Particle, Ncp146b, At 2.6 A Resolution
gi|27573746|gb|1KX4_H|	 Chain H, X-Ray Structure Of The Nucleosome Core Particle, Ncp146b, At 2.6 A Resolution
gi|27573749|gb|1KX5_A|	 Chain A, X-Ray Structure Of The Nucleosome Core Particle, Ncp147, At 1.9 A Resolution
gi|27573750|gb|1KX5_B|	 Chain B, X-Ray Structure Of The Nucleosome Core Particle, Ncp147, At 1.9 A Resolution
gi|27573751|gb|1KX5_C|	 Chain C, X-Ray Structure Of The Nucleosome Core Particle, Ncp147, At 1.9 A Resolution
gi|27573752|gb|1KX5_D|	 Chain D, X-Ray Structure Of The Nucleosome Core Particle, Ncp147, At 1.9 A Resolution
gi|27573753|gb|1KX5_E|	 Chain E, X-Ray Structure Of The Nucleosome Core Particle, Ncp147, At 1.9 A Resolution
gi|27573754|gb|1KX5_F|	 Chain F, X-Ray Structure Of The Nucleosome Core Particle, Ncp147, At 1.9 A Resolution
gi|27573755|gb|1KX5_G|	 Chain G, X-Ray Structure Of The Nucleosome Core Particle, Ncp147, At 1.9 A Resolution
gi|27573756|gb|1KX5_H|	 Chain H, X-Ray Structure Of The Nucleosome Core Particle, Ncp147, At 1.9 A Resolution
gi|2764528|gb|CAA04222|	 paired box protein [Xenopus laevis]
gi|2764530|gb|CAA04223|	 paired box protein [Xenopus laevis]
gi|2764532|gb|CAA04224|	 paired box gene [Xenopus laevis]
gi|2764534|gb|CAA04225|	 paired box protein [Xenopus laevis]
gi|2765055|gb|CAA71205|	 paired box protein [Xenopus laevis]
gi|2765057|gb|CAA71206|	 paired box protein [Xenopus laevis]
gi|2765059|gb|CAA71207|	 paired box protein [Xenopus laevis]
gi|2765061|gb|CAA71208|	 paired box protein [Xenopus laevis]
gi|2765063|gb|CAA71209|	 paired box protein [Xenopus laevis]
gi|27694575|gb|AAH43730|	 Mark2-prov protein [Xenopus laevis]
gi|27694581|gb|AAH43959|	 CBTF122 protein [Xenopus laevis]
gi|27694584|gb|AAH44013|	 Nudt6 protein [Xenopus laevis]
gi|27694588|gb|AAH43987|	 Pam-a protein [Xenopus laevis]
gi|27694591|gb|AAH44004|	 Odc1-prov protein [Xenopus laevis]
gi|27694601|gb|AAH43738|	 Prkag3-prov protein [Xenopus laevis]
gi|27694605|gb|AAH43739|	 Psmb1-prov protein [Xenopus laevis]
gi|27694612|gb|AAH43743|	 Atp1a3-prov protein [Xenopus laevis]
gi|27694616|gb|AAH43746|	 MGC52872 protein [Xenopus laevis]
gi|27694619|gb|AAH43749|	 Fyn protein [Xenopus laevis]
gi|27694622|gb|AAH43750|	 MGC52881 protein [Xenopus laevis]
gi|27694625|gb|AAH43752|	 LOC398535 protein [Xenopus laevis]
gi|27694633|gb|AAH43758|	 MGC52909 protein [Xenopus laevis]
gi|27694642|gb|AAH43762|	 MGC52938 protein [Xenopus laevis]
gi|27694647|gb|AAH43764|	 MGC52943 protein [Xenopus laevis]
gi|27694652|gb|AAH43765|	 MGC52944 protein [Xenopus laevis]
gi|27694658|gb|AAH43770|	 Flot2 protein [Xenopus laevis]
gi|27694663|gb|AAH43772|	 Katnb1 protein [Xenopus laevis]
gi|27694681|gb|AAH43774|	 Tfiiealpha protein [Xenopus laevis]
gi|27694686|gb|AAH43775|	 MGC52980 protein [Xenopus laevis]
gi|27694691|gb|AAH43780|	 LOC398475 protein [Xenopus laevis]
gi|27694694|gb|AAH43781|	 Pgk1-prov protein [Xenopus laevis]
gi|27694699|gb|AAH43786|	 Slc37a1-prov protein [Xenopus laevis]
gi|27694704|gb|AAH43625|	 Mgc17337-prov protein [Xenopus laevis]
gi|27694709|gb|AAH43789|	 Mapkap1-prov protein [Xenopus laevis]
gi|27694714|gb|AAH43626|	 Pag protein [Xenopus laevis]
gi|27694719|gb|AAH43793|	 Ap2b1-prov protein [Xenopus laevis]
gi|27694724|gb|AAH43794|	 Txn2-prov protein [Xenopus laevis]
gi|27694729|gb|AAH43797|	 Gjb2 protein [Xenopus laevis]
gi|27694738|gb|AAH43799|	 LOC398739 protein [Xenopus laevis]
gi|27694742|gb|AAH43800|	 MGC53078 protein [Xenopus laevis]
gi|27694747|gb|AAH43805|	 MGC64475 protein [Xenopus laevis]
gi|27694751|gb|AAH43806|	 MGC53103 protein [Xenopus laevis]
gi|27694754|gb|AAH43809|	 Gfpt1-prov protein [Xenopus laevis]
gi|27694761|gb|AAH43810|	 MGC53127 protein [Xenopus laevis]
gi|27694764|gb|AAH43812|	 RBJ protein [Xenopus laevis]
gi|27694771|gb|AAH43814|	 Hnrpab-prov protein [Xenopus laevis]
gi|27694775|gb|AAH43815|	 Tyrp1-prov protein [Xenopus laevis]
gi|27694778|gb|AAH43816|	 MGC69094 protein [Xenopus laevis]
gi|27694780|gb|AAH43819|	 MGC53195 protein [Xenopus laevis]
gi|27694782|gb|AAH43823|	 Rpl8 protein [Xenopus laevis]
gi|27694784|gb|AAH43825|	 P44s10-prov protein [Xenopus laevis]
gi|27694786|gb|AAH43827|	 Slc25a20-prov protein [Xenopus laevis]
gi|27694789|gb|AAH43829|	 Syap1-prov protein [Xenopus laevis]
gi|27694792|gb|AAH43834|	 Mcsc-pending-prov protein [Xenopus laevis]
gi|27694795|gb|AAH43835|	 Mbd1-prov protein [Xenopus laevis]
gi|27694798|gb|AAH43836|	 MGC53261 protein [Xenopus laevis]
gi|27694806|gb|AAH43982|	 Rangap1-prov protein [Xenopus laevis]
gi|27694811|gb|AAH43993|	 LOC398474 protein [Xenopus laevis]
gi|27694816|gb|AAH43946|	 Map1lc3a-prov protein [Xenopus laevis]
gi|27694827|gb|AAH43998|	 Rap2c-prov protein [Xenopus laevis]
gi|27694832|gb|AAH44002|	 MGC53361 protein [Xenopus laevis]
gi|27694836|gb|AAH43961|	 Cntfr-prov protein [Xenopus laevis]
gi|27694840|gb|AAH44007|	 Pkm2-prov protein [Xenopus laevis]
gi|27694842|gb|AAH43978|	 MGC53395 protein [Xenopus laevis]
gi|27694844|gb|AAH44037|	 Cg8286-prov protein [Xenopus laevis]
gi|27694848|gb|AAH44043|	 Chi-prov protein [Xenopus laevis]
gi|27694853|gb|AAH44046|	 MGC53491 protein [Xenopus laevis]
gi|27694862|gb|AAH44048|	 Flj12787-prov protein [Xenopus laevis]
gi|27694867|gb|AAH44052|	 MGC53527 protein [Xenopus laevis]
gi|27694872|gb|AAH44051|	 Mcm3-prov protein [Xenopus laevis]
gi|27694877|gb|AAH41744|	 Rpl4-b-prov protein [Xenopus laevis]
gi|27694890|gb|AAH41754|	 Fga-prov protein [Xenopus laevis]
gi|27694894|gb|AAH43844|	 MGC53657 protein [Xenopus laevis]
gi|27694899|gb|AAH43845|	 Flj13912 protein [Xenopus laevis]
gi|27694903|gb|AAH43848|	 Vmp-prov protein [Xenopus laevis]
gi|27694908|gb|AAH43849|	 LOC398095 protein [Xenopus laevis]
gi|27694912|gb|AAH43858|	 MGC53694 protein [Xenopus laevis]
gi|27694917|gb|AAH43862|	 MGC53705 protein [Xenopus laevis]
gi|27694922|gb|AAH43864|	 Prdm4-prov protein [Xenopus laevis]
gi|27694927|gb|AAH43866|	 Rab5a-prov protein [Xenopus laevis]
gi|27694932|gb|AAH43867|	 Ssr1 protein [Xenopus laevis]
gi|27694937|gb|AAH43869|	 MGC53726 protein [Xenopus laevis]
gi|27694942|gb|AAH43636|	 LOC398473 protein [Xenopus laevis]
gi|27694947|gb|AAH43637|	 MGC53751 protein [Xenopus laevis]
gi|27694951|gb|AAH43880|	 MGC53768 protein [Xenopus laevis]
gi|27694956|gb|AAH43882|	 LOC398472 protein [Xenopus laevis]
gi|27694961|gb|AAH43888|	 LOC398471 protein [Xenopus laevis]
gi|27694969|gb|AAH43889|	 Metap2-prov protein [Xenopus laevis]
gi|27694974|gb|AAH43898|	 Flj38101-prov protein [Xenopus laevis]
gi|27694979|gb|AAH43909|	 LOC398534 protein [Xenopus laevis]
gi|27694984|gb|AAH43913|	 Mek-2 protein [Xenopus laevis]
gi|27694989|gb|AAH43914|	 Itm1 protein [Xenopus laevis]
gi|27694994|gb|AAH43988|	 Gcm1-A protein [Xenopus laevis]
gi|27694999|gb|AAH44000|	 LOC398470 protein [Xenopus laevis]
gi|27695004|gb|AAH44015|	 MGC53985 protein [Xenopus laevis]
gi|27695009|gb|AAH43967|	 Heatr6 protein [Xenopus laevis]
gi|27695014|gb|AAH43973|	 MGC64293 protein [Xenopus laevis]
gi|27695019|gb|AAH43963|	 Clk2-prov protein [Xenopus laevis]
gi|27695022|gb|AAH43960|	 LOC398469 protein [Xenopus laevis]
gi|27695025|gb|AAH44025|	 Atp6a1 protein [Xenopus laevis]
gi|27695030|gb|AAH44020|	 Lmbrd1 protein [Xenopus laevis]
gi|27695033|gb|AAH44008|	 MGC54016 protein [Xenopus laevis]
gi|27695116|gb|AAH43742|	 LOC398467 protein [Xenopus laevis]
gi|27695121|gb|AAH43747|	 Mycn-prov protein [Xenopus laevis]
gi|27695126|gb|AAH43623|	 Rbms1-prov protein [Xenopus laevis]
gi|27695131|gb|AAH43790|	 Sult1c1-prov protein [Xenopus laevis]
gi|27695136|gb|AAH43627|	 LOC398533 protein [Xenopus laevis]
gi|27695141|gb|AAH43803|	 Xac2 protein [Xenopus laevis]
gi|27695146|gb|AAH43808|	 Cnn3-prov protein [Xenopus laevis]
gi|27695152|gb|AAH43818|	 Rheb-prov protein [Xenopus laevis]
gi|27695157|gb|AAH43753|	 MGC52890 protein [Xenopus laevis]
gi|27695162|gb|AAH43795|	 Mak16l-prov protein [Xenopus laevis]
gi|27695167|gb|AAH43629|	 Sdcbp-prov protein [Xenopus laevis]
gi|27695172|gb|AAH43737|	 Znf750 protein [Xenopus laevis]
gi|27695177|gb|AAH43732|	 Klf2 protein [Xenopus laevis]
gi|27695185|gb|AAH43826|	 Fam3a-prov protein [Xenopus laevis]
gi|27695194|gb|AAH41730|	 Ppp1ca-prov protein [Xenopus laevis]
gi|27695202|gb|AAH41753|	 MGC53615 protein [Xenopus laevis]
gi|27695207|gb|AAH41722|	 Flj11021 protein [Xenopus laevis]
gi|27695212|gb|AAH43986|	 MGC53945 protein [Xenopus laevis]
gi|27695217|gb|AAH43949|	 MGC53321 protein [Xenopus laevis]
gi|27695222|gb|AAH43948|	 Pdgfra protein [Xenopus laevis]
gi|27695228|gb|AAH43997|	 MGC53355 protein [Xenopus laevis]
gi|27695233|gb|AAH43974|	 MGC53997 protein [Xenopus laevis]
gi|27695237|gb|AAH43956|	 Csnk1a1-prov protein [Xenopus laevis]
gi|27695242|gb|AAH44021|	 Adsl-prov protein [Xenopus laevis]
gi|27695247|gb|AAH44042|	 PCK2 protein [Xenopus laevis]
gi|27695252|gb|AAH44038|	 Ube2h-prov protein [Xenopus laevis]
gi|27695479|gb|AAH41750|	 Arfgap3-prov protein [Xenopus laevis]
gi|27696171|gb|AAH43630|	 MGC53674 protein [Xenopus laevis]
gi|27696175|gb|AAH43633|	 Tbl2-prov protein [Xenopus laevis]
gi|27696226|gb|AAH43736|	 Rnf11-a protein [Xenopus laevis]
gi|27696230|gb|AAH43740|	 MGC52862 protein [Xenopus laevis]
gi|27696233|gb|AAH43744|	 Rbm26 protein [Xenopus laevis]
gi|27696238|gb|AAH43748|	 MGC52875 protein [Xenopus laevis]
gi|27696242|gb|AAH43755|	 Sec13l1-prov protein [Xenopus laevis]
gi|27696248|gb|AAH43760|	 Alpl-prov protein [Xenopus laevis]
gi|27696254|gb|AAH43763|	 Pctk2-prov protein [Xenopus laevis]
gi|27696258|gb|AAH43766|	 Cg7564-prov protein [Xenopus laevis]
gi|27696263|gb|AAH43773|	 Mdm4 protein [Xenopus laevis]
gi|27696265|gb|AAH43779|	 Slc16a1-prov protein [Xenopus laevis]
gi|27696268|gb|AAH43782|	 Ina-B-prov protein [Xenopus laevis]
gi|27696271|gb|AAH43784|	 Brd2-A-prov protein [Xenopus laevis]
gi|27696273|gb|AAH43788|	 Ogn-prov protein [Xenopus laevis]
gi|27696276|gb|AAH43792|	 Vip-A protein [Xenopus laevis]
gi|27696280|gb|AAH43796|	 Sh3d3-prov protein [Xenopus laevis]
gi|27696285|gb|AAH43807|	 Bag3-A protein [Xenopus laevis]
gi|27696290|gb|AAH43811|	 Tpt1-prov protein [Xenopus laevis]
gi|27696295|gb|AAH43817|	 LOC398532 protein [Xenopus laevis]
gi|27696300|gb|AAH43830|	 Psph-A protein [Xenopus laevis]
gi|27696323|gb|AAH43837|	 LOC398531 protein [Xenopus laevis]
gi|27696341|gb|AAH43841|	 Dsipi-prov protein [Xenopus laevis]
gi|27696349|gb|AAH43852|	 Xbp1-prov protein [Xenopus laevis]
gi|27696356|gb|AAH43857|	 Rab3d protein [Xenopus laevis]
gi|27696363|gb|AAH43865|	 LOC398646 protein [Xenopus laevis]
gi|27696370|gb|AAH43873|	 Rbpa protein [Xenopus laevis]
gi|27696376|gb|AAH43877|	 Tbn-prov protein [Xenopus laevis]
gi|27696381|gb|AAH43881|	 Dkfzp434h2226-prov protein [Xenopus laevis]
gi|27696384|gb|AAH43883|	 Mrlp45 protein [Xenopus laevis]
gi|27696390|gb|AAH43885|	 Tn3 protein [Xenopus laevis]
gi|27696396|gb|AAH43893|	 Plod-prov protein [Xenopus laevis]
gi|27696400|gb|AAH43894|	 MGC53828 protein [Xenopus laevis]
gi|27696405|gb|AAH43901|	 LOC398464 protein [Xenopus laevis]
gi|27696411|gb|AAH43902|	 Hprt protein [Xenopus laevis]
gi|27696416|gb|AAH43907|	 Wdr4-prov protein [Xenopus laevis]
gi|27696424|gb|AAH43958|	 Xpmc2 protein [Xenopus laevis]
gi|27696428|gb|AAH43969|	 MGC53351 protein [Xenopus laevis]
gi|27696431|gb|AAH43977|	 Ddx42-prov protein [Xenopus laevis]
gi|27696436|gb|AAH43981|	 Ilf2-prov protein [Xenopus laevis]
gi|27696439|gb|AAH43984|	 MGC53950 protein [Xenopus laevis]
gi|27696444|gb|AAH43991|	 Ratireb-prov protein [Xenopus laevis]
gi|27696447|gb|AAH43994|	 MGC53320 protein [Xenopus laevis]
gi|27696450|gb|AAH44011|	 H2A.Zl2 protein [Xenopus laevis]
gi|27696456|gb|AAH44016|	 Tgif-prov protein [Xenopus laevis]
gi|27696459|gb|AAH44029|	 Hspc150-prov protein [Xenopus laevis]
gi|27696463|gb|AAH44030|	 MGC53436 protein [Xenopus laevis]
gi|27696466|gb|AAH44045|	 Usp46-prov protein [Xenopus laevis]
gi|27696469|gb|AAH44047|	 Carhsp1-prov protein [Xenopus laevis]
gi|27696471|gb|AAH44050|	 LOC398530 protein [Xenopus laevis]
gi|27696474|gb|AAH44053|	 Zpr9-prov protein [Xenopus laevis]
gi|27696700|gb|AAH43621|	 MGC52584 protein [Xenopus laevis]
gi|27696710|gb|AAH43634|	 Ripk4a protein [Xenopus laevis]
gi|27696820|gb|AAH43731|	 MGC52511 protein [Xenopus laevis]
gi|27696825|gb|AAH44039|	 MGC52572 protein [Xenopus laevis]
gi|27696830|gb|AAH43735|	 ElrD protein [Xenopus laevis]
gi|27696835|gb|AAH43741|	 Fkbp9-prov protein [Xenopus laevis]
gi|27696840|gb|AAH43754|	 Aarsd1-a protein [Xenopus laevis]
gi|27696849|gb|AAH43757|	 MGC52908 protein [Xenopus laevis]
gi|27696856|gb|AAH43761|	 MGC52920 protein [Xenopus laevis]
gi|27696861|gb|AAH43767|	 Stam2-prov protein [Xenopus laevis]
gi|27696866|gb|AAH43769|	 Hif1a-prov protein [Xenopus laevis]
gi|27696870|gb|AAH43776|	 Agpat3-prov protein [Xenopus laevis]
gi|27696875|gb|AAH43778|	 Kpna2-prov protein [Xenopus laevis]
gi|27696880|gb|AAH43783|	 MGC53012 protein [Xenopus laevis]
gi|27696885|gb|AAH43791|	 LOC398529 protein [Xenopus laevis]
gi|27696890|gb|AAH43798|	 Cstf1-prov protein [Xenopus laevis]
gi|27696895|gb|AAH43801|	 MGC53082 protein [Xenopus laevis]
gi|27696900|gb|AAH43802|	 Thrap4-prov protein [Xenopus laevis]
gi|27696904|gb|AAH43822|	 MGC53202 protein [Xenopus laevis]
gi|27696909|gb|AAH43824|	 Ercc1-prov protein [Xenopus laevis]
gi|27696914|gb|AAH43833|	 Fbxw2-prov protein [Xenopus laevis]
gi|27696919|gb|AAH43840|	 Gorasp2 protein [Xenopus laevis]
gi|27696923|gb|AAH43985|	 Anp32e-prov protein [Xenopus laevis]
gi|27696928|gb|AAH43992|	 MGC53325 protein [Xenopus laevis]
gi|27696935|gb|AAH44001|	 MGC53359 protein [Xenopus laevis]
gi|27696944|gb|AAH44006|	 Cbfa2t2 protein [Xenopus laevis]
gi|27696951|gb|AAH43979|	 Sssca1 protein [Xenopus laevis]
gi|27696958|gb|AAH44031|	 MGC53433 protein [Xenopus laevis]
gi|27696965|gb|AAH44034|	 Cops3-prov protein [Xenopus laevis]
gi|27696972|gb|AAH44035|	 Adipor1-prov protein [Xenopus laevis]
gi|27696979|gb|AAH44044|	 Ecrg4-A protein [Xenopus laevis]
gi|27696986|gb|AAH43846|	 Armet protein [Xenopus laevis]
gi|27696993|gb|AAH43850|	 Acsbg2 protein [Xenopus laevis]
gi|27697000|gb|AAH43853|	 MGC53679 protein [Xenopus laevis]
gi|27697007|gb|AAH43868|	 Pcyt1a-prov protein [Xenopus laevis]
gi|27697014|gb|AAH43870|	 Cdv3-prov protein [Xenopus laevis]
gi|27697028|gb|AAH43884|	 2e999-prov protein [Xenopus laevis]
gi|27697035|gb|AAH43887|	 MGC53785 protein [Xenopus laevis]
gi|27697042|gb|AAH43897|	 Flj13576-prov protein [Xenopus laevis]
gi|27697049|gb|AAH43903|	 Nap1l1 protein [Xenopus laevis]
gi|27697056|gb|AAH43910|	 Usp8-prov protein [Xenopus laevis]
gi|27697063|gb|AAH43912|	 Txndc4 protein [Xenopus laevis]
